State,Fips,Total veteran receving benefits,Average benefits,Total benefits,Medical care
Alabama,1,119975,17507.11367,2100415963,1021715496
Alaska,2,19453,16407.11864,319167679,222938068
Arizona                                                                                                                        ,4,113899,18228.52996,2076211334,1375088364
Arkansas                                                                                                                       ,5,59772,19256.49127,1150998996,940245622.9
California,6,428720,19183.65513,8224416627,5584851466
Colorado                                                                                                                       ,8,104931,17406.32499,1826463088,931561757.6
Connecticut                                                                                                                      ,9,31052,17357.33711,538980032,593311871.3
Delaware                                                                                                                     ,10,13969,17027.55859,237857966,150788104
District of Columbia,11,6482,19356.99105,125472016,225406129.4
Florida                                                                                                                     ,12,385967,17261.58291,6662401370,4662292889
Georgia                                                                                                                     ,13,201363,17548.49428,3533617453,1707820976
Hawaii                                                                                                                     ,15,27519,20203.47498,555979428,254148535.3
Idaho                                                                                                               ,16,29919,15368.93569,459823187,351404348.4
Illinois                                                                                                               ,17,113659,17857.8145,2029701338,2088426338
Indiana                                                                                                               ,18,97817,14363.35911,1404980698,1186401737
Iowa                                                                                                              ,19,45598,14719.97627,671201478,638220783.9
Kansas                                                                                                             ,20,43905,16992.84669,746070934,569972322.8
Kentucky                                                                                                             ,21,78984,17866.95023,1411203197,945027860.8
Louisiana                                                                                                        ,22,75406,18012.12068,1358221972,875694126.4
Maine                                                                                                       ,23,31021,18944.51671,587677853,344244221.1
Maryland                                                                                                      ,24,88470,18008.31654,1593195764,1027396915
Massachusetts,25,73297,18667.48092,1368270349,1146154558
Michigan,26,123568,17933.15653,2215964286,1420982005
Minnesota,27,102267,12691.98783,1297971519,1136312754
Mississippi,28,52949,16565.85059,877145223,698779878.6
Missouri ,29,108454,17161.02078,1861181348,1312030967
Montana,30,24633,15315.18654,377258990,338208050.7
Nebraska,31,46218,13587.65754,627994356,449166838.9
Nevada,32,51861,17071.59956,885350225,818193334.8
New Hampshire,33,21521,17165.31058,369414649,285915175
New Jersey,34,66182,19056.02176,1261165632,784095686.5
New Mexico,35,43579,20049.87875,873753666,540539838.1
New York,36,157041,18753.55442,2945076939,2930966285
North Carolina,37,207221,18372.28117,3807122476,1987215553
North Dakota,38,14035,14014.45401,196692862,155677484.5
Ohio,39,159345,16065.71682,2559991647,2316111261
Oklahoma,40,105569,18752.03403,1979633480,808573918.5
Oregon,41,79309,17965.14599,1424797763,1039902679
Pennsylvania,42,153418,18310.91571,2809224066,2193636664
Rhode Island,44,14686,18596.03582,273101382,225710294.9
South Carolina,45,114576,18643.90325,2136143859,1045378196
South Dakota,46,18220,14816.81164,269962308,328674664.4
Tennessee,47,129587,17473.79604,2264376807,1393180607
Texas,48,467365,18486.81264,8640089190,4345103485
Utah,49,30436,18186.67768,553529722,405189300.6
Vermont,50,8734,17875.47,156124355,130726832.6
Virginia,51,197441,18543.05928,3661160167,1443669250
Washington,53,144742,17012.25711,2462388119,1202932472
West Virginia,54,40883,18901.30338,772741986,716201564.1
Wisconsin,55,80774,15916.44743,1285635125,1263430484
Wyoming,56,12073,14081.39071,170004630,205409953
