Year,Bend_pt1,Bend_pt2
1979,180,1085
1980,194,1171
1981,211,1274
1982,230,1388
1983,254,1528
1984,267,1612
1985,280,1691
1986,297,1790
1987,310,1866
1988,319,1922
1989,339,2044
1990,356,2145
1991,370,2230
1992,387,2333
1993,401,2420
1994,422,2545
1995,426,2567
1996,437,2635
1997,455,2741
1998,477,2875
1999,505,3043
2000,531,3202
2001,561,3381
2002,592,3567
2003,606,3653
2004,612,3689
2005,627,3779
2006,656,3955
2007,680,4100
2008,711,4288
2009,744,4483
2010,761,4586
2011,749,4517
2012,767,4624
2013,791,4768
2014,816,4917
2015,826,4980
2016,856,5157
2017,879,5296
2018,904,5450
2019,947,5710
2020,993,5983
2021,1037,6251
2022,1081,6519
2023,1127,6794
2024,1173,7071
2025,1220,7353
2026,1250,7537
2027,1285,7745
2028,1322,7970
2029,1363,8213
2030,1406,8475
2031,1453,8756
2032,1503,9054
2033,1555,9369
2034,1611,9703
2035,1670,10054
2036,1731,10424
2037,1796,10812
2038,1864,11219
2039,1935,11646
2040,2009,12093
2041,2087,12561
2042,2169,13051
2043,2254,13563
2044,2343,14098
2045,2436,14658
2046,2534,15244
2047,2635,15855
2048,2742,16494
2049,2853,17162
2050,2969,17859
2051,3090,18587
2052,3217,19347
2053,3349,20141
2054,3487,20970
2055,3631,21836
2056,3781,22740
2057,3938,23683
2058,4102,24668
2059,4273,25696
2060,4452,26769
2061,4639,27889
2062,4833,29058
2063,5036,30278
2064,5248,31552
2065,5470,32881
2066,5700,34268
2067,5941,35715
2068,6193,37226
2069,6455,38802
2070,6729,40447
